id,url_id,user_id,event_type,timestamp,details
1,1,1,created,2025-01-01 04:56:22,"{""short_code"":""FzySkw"",""original_url"":""https://hackstack.io/ivory/uplink/1""}"
2,2,217,created,2026-01-08 15:07:03,"{""short_code"":""sR2EFO"",""original_url"":""https://hackstack.io/amber/meadow/2""}"
3,3,287,created,2025-10-22 14:58:58,"{""short_code"":""1L7oJT"",""original_url"":""https://hackstack.io/dawn/window/3""}"
4,4,357,created,2025-12-09 14:21:57,"{""short_code"":""ZecICd"",""original_url"":""https://example.com/harbor/garden/4""}"
5,5,155,created,2025-03-18 23:24:01,"{""short_code"":""ulwBUV"",""original_url"":""https://example.com/calm/valley/5""}"
6,6,371,created,2025-08-04 22:50:10,"{""short_code"":""fifTgT"",""original_url"":""https://acme.dev/keen/engine/6""}"
7,7,352,created,2025-04-08 21:12:07,"{""short_code"":""saFyKt"",""original_url"":""https://example.com/warm/river/7""}"
8,8,178,created,2025-07-02 22:41:35,"{""short_code"":""qexd9e"",""original_url"":""https://acme.dev/ember/anchor/8""}"
9,9,214,created,2025-10-17 20:37:23,"{""short_code"":""WMcsvZ"",""original_url"":""https://seeded.app/warm/uplink/9""}"
10,10,253,created,2025-03-09 22:33:37,"{""short_code"":""MKu6nH"",""original_url"":""https://relay.cloud/harbor/journey/10""}"
11,11,155,created,2025-09-13 22:53:04,"{""short_code"":""rqWMKj"",""original_url"":""https://relay.cloud/cobalt/valley/11""}"
12,12,239,created,2025-01-16 19:31:54,"{""short_code"":""NKo9ee"",""original_url"":""https://seeded.app/ember/river/12""}"
13,13,70,created,2025-07-24 21:47:22,"{""short_code"":""04PeSP"",""original_url"":""https://relay.cloud/brisk/garden/13""}"
14,14,138,created,2025-01-08 07:01:58,"{""short_code"":""ZwPvqC"",""original_url"":""https://opswise.net/cobalt/trail/14""}"
15,15,378,created,2026-01-31 08:08:22,"{""short_code"":""K0H9d2"",""original_url"":""https://example.com/urban/island/15""}"
16,16,148,created,2025-11-28 02:21:10,"{""short_code"":""rDUZ7K"",""original_url"":""https://relay.cloud/forest/pioneer/16""}"
17,17,66,created,2025-04-02 10:21:06,"{""short_code"":""RAXWtJ"",""original_url"":""https://seeded.app/keen/trail/17""}"
